ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"50.169.62.105","elite","AS7922","US","Comcast Cable Communications, LLC","82","Comcast Cable Communications, LLC","80","socks4","1","100","1576","1577","2025-01-04T08:27:17.161Z","3490"
"82.137.245.41","elite","AS29256","SY","ISP-TARASSUL","99","N/A","1080","socks4","1","96","1944","2021","2025-01-04T08:27:17.166Z","481"
"46.141.84.199","elite","AS49524","IT","Wolnext srl","50","Wolnext srl","1080","socks4","1","97","1873","1922","2025-01-04T08:26:59.458Z","636"
"123.154.25.161","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","190","N/A","8085","socks4","92","67","991","1484","2025-01-04T08:26:59.371Z","1095"
"176.126.84.126","elite","AS63473","SE","HostHatch","36","HostHatch LLC","22015","socks4","1","100","1842","1845","2025-01-04T08:26:59.463Z","326"
"51.77.73.68","elite","AS16276","ES","OVH SAS","87","Sastre Vazquez Antonio","31979","socks4","1","100","8680","8689","2025-01-04T08:26:59.368Z","2898"
"113.74.26.114","elite","AS4134","CN","Chinanet","208","Chinanet GD","4145","socks4","1","89","7793","8717","2025-01-04T08:26:59.455Z","1682"
"91.241.131.179","elite","AS43400","RU","TOV NEO-TELECOM","81","TOV NEO-TELECOM","9834","socks4","1","67","1368","2040","2025-01-04T08:26:59.255Z","5393"
"109.236.47.242","elite","AS35047","AL","Abissnet PPPoE","43","N/A","4145","socks4","81","100","8782","8814","2025-01-04T08:26:59.464Z","1610"
"119.148.37.198","elite","AS23923","BD","Agni Systems Limited","198","Agni Systems Ltd.","1088","socks4","1","98","8532","8695","2025-01-04T08:26:59.159Z","2199"
"43.153.73.157","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","184","Tencent Cloud Computing","443","socks5","1","79","6911","8783","2025-01-04T08:26:59.462Z","923"
"31.22.7.188","elite","AS34119","GB","Wildcard Networks","16","I Fastnet Ltd","56981","socks5","1","33","2914","8754","2025-01-04T08:26:59.370Z","3392"
"190.128.228.54","elite","AS23201","PY","Telecel S.A.","188","Telecel S.A","34227","socks4","1","100","1583","1588","2025-01-04T08:26:59.374Z","682"
"49.0.42.114","elite","AS38744","BD","Always On Network Bangladesh Ltd.","291","Always On Network Bangladesh Ltd","10801","socks4","1","98","8612","8752","2025-01-04T08:26:59.171Z","1715"
"50.199.46.20","elite","AS33668","US","Comcast Cable Communications, LLC","104","Comcast Cable Communications, LLC","32100","socks4","1","100","2030","2040","2025-01-04T08:26:59.372Z","466"
"111.231.33.29","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","208","Tencent cloud computing (Beijing) Co., Ltd.","1080","socks4","1","95","1755","1853","2025-01-04T08:26:59.370Z","937"
"2.81.216.239","elite","AS3243","PT","PT Comunicacoes S.A","30","PT Comunicacoes S.A.","4153","socks4","1","100","8717","8739","2025-01-04T08:26:59.169Z","2004"
"103.209.230.253","elite","AS60781","TM","WIMS1","11","N/A","4153","socks4","1","53","4628","8787","2025-01-04T08:26:59.461Z","1692"
"105.234.156.108","elite","AS37440","MW","Airtel Malawi","205","N/A","4145","socks4","1","94","8127","8672","2025-01-04T08:26:59.457Z","1089"
"223.71.102.41","elite","AS9808","CN","China Mobile communications corporation","281","China Mobile","3128","socks4","1","97","1515","1557","2025-01-04T08:26:59.375Z","1689"
"213.252.245.221","elite","AS61272","LT","BACLOUD-BITE","97","N/A","6101","socks4","81","100","630","630","2025-01-04T08:26:59.256Z","1704"
"83.220.168.57","elite","AS29182","RU","JSC IOT","52","JSC Datacenter","10103","socks4","1","100","228","228","2025-01-04T08:26:59.371Z","2705"
"162.240.212.185","elite","AS46606","US","Unified Layer","197","Unified Layer","59991","socks4","1","100","1935","1937","2025-01-04T08:26:59.373Z","2987"
"47.250.135.228","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","162","Alibaba.com LLC","10080","socks4","1","100","934","934","2025-01-04T08:26:59.168Z","596"
"124.122.137.150","elite","AS17552","TH","True Internet Co., Ltd.","200","TRUE BB","4153","socks4","1","73","6422","8810","2025-01-04T08:26:59.368Z","2607"
"142.54.160.122","elite","AS33387","US","Nocix, LLC","121","StormProxies","17059","socks4","1","100","1560","1562","2025-01-04T08:26:59.373Z","1803"
"148.251.76.9","elite","AS24940","DE","Hetzner Online GmbH","91","Hetzner","27862","socks4","1","100","2029","2029","2025-01-04T08:26:59.462Z","1579"
"67.43.236.18","elite","AS36666","CA","GloboTech Communications","84","N/A","6703","http","27683","100","43","43","2025-01-04T08:26:59.372Z","1275"
"222.129.33.169","elite","AS4808","CN","China Unicom Beijing Province Network","167","N/A","57114","socks4","1","84","7372","8745","2025-01-04T08:26:59.376Z","5291"
"43.231.79.36","elite","N/A","BD","Gateway Online Access Limited","189","N/A","33333","socks4","1","93","1856","1996","2025-01-04T08:26:59.376Z","1099"
